mirror|weird|adapted_url|adapted_url_correct|adapted_url_archive|adapted_url_archive_correct
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/index0ac7.html?title=Angular_Targeting&action=history|False|http://robowiki.net/wiki/../w/index.php?title=Angular_Targeting&action=history|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Talk_Advancing_Velocity.html|False|http://robowiki.net/wiki/Advancing_Velocity|False|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Pugilist/Version_History.html|False|http://robowiki.net/wiki/Pugilist/Version_History|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Phoenix/Version_History.html|False|http://robowiki.net/wiki/Phoenix/Version_History|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_talk_Voidious.html|False|http://robowiki.net/wiki/User:Voidious|False|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Pattern_Matcher_Challenge.html|False|http://robowiki.net/wiki/Pattern_Matcher_Challenge|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Category_Targeting_Challenges.html|False|http://robowiki.net/wiki/Category:Targeting_Challenges|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Simonton.html|True|http://robowiki.net/wiki/User:Simonton|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/WeekendObsession.html|False|http://robowiki.net/wiki/WeekendObsession|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Shiz/Version_History.html|False|http://robowiki.net/wiki/Shiz/Version_History|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Aristocles/Version_History.html|False|http://robowiki.net/wiki/Aristocles/Version_History|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/RoboRumble_Gun_Challenge/Results.html|False|http://robowiki.net/wiki/RoboRumble_Gun_Challenge/Results|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/RoboRumble_Gun_Challenge/RaikoNMT.html|False|http://robowiki.net/wiki/RoboRumble_Gun_Challenge/RaikoNMT|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Talk_RoboRumble_Gun_Challenge.html|True|http://robowiki.net/wiki/RoboRumble_Gun_Challenge|False|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Loki.html|True|http://robowiki.net/wiki/User:Loki|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/PulsarMax.html|True|http://robowiki.net/wiki/PulsarMax|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Raiko/Version_History.html|False|http://robowiki.net/wiki/Raiko/Version_History|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Portia/Version_History.html|False|http://robowiki.net/wiki/Portia/Version_History|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Positive.html|False|http://robowiki.net/wiki/User:Positive|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_talk_Positive.html|False|http://robowiki.net/wiki/User:Positive|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Mue.html|True|http://robowiki.net/wiki/User:Mue|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Hyperion.html|False|http://robowiki.net/wiki/Hyperion|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/index5b45.html?title=User:Mue&action=history|False|http://robowiki.net/wiki/../w/index.php?title=User:Mue&action=history|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Ascendant/History.html|False|http://robowiki.net/wiki/Ascendant/History|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Talk_Anti-Gravity_Tutorial.html|False|http://robowiki.net/wiki/Anti-Gravity_Tutorial|False|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/indexfe7a.html?title=Anti-Gravity_Tutorial&action=history|False|http://robowiki.net/wiki/../w/index.php?title=Anti-Gravity_Tutorial&action=history|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Compressed_Serialization.html|False|http://robowiki.net/wiki/Compressed_Serialization|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/FloodMini.html|True|http://robowiki.net/wiki/FloodMini|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Cigaret.html|False|http://robowiki.net/wiki/Cigaret|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_Assertive.html|False|http://robowiki.net/wiki/File:Assertive|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_LawOfSines.html|False|http://robowiki.net/wiki/File:LawOfSines|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_PrecisePositionalMEA.html|True|http://robowiki.net/wiki/File:PrecisePositionalMEA|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_Atari2600Combat.html|False|http://robowiki.net/wiki/File:Atari2600Combat|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_MN.html|False|http://robowiki.net/wiki/User:MN|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_Diamond_collage_thumb200.html|False|http://robowiki.net/wiki/File:Diamond_collage_thumb200|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_Displacement_vector1.html|False|http://robowiki.net/wiki/File:Displacement_vector1|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_Displacement_vector2.html|False|http://robowiki.net/wiki/File:Displacement_vector2|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Talk_Robocode/Download_And_Install.html|True|http://robowiki.net/wiki/Robocode/Download_And_Install|False|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_NewBattle.html|False|http://robowiki.net/wiki/File:NewBattle|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Talk_Robocode_Basics/fr.html|True|http://robowiki.net/wiki/Robocode_Basics/fr|False|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/index1117.html?title=File:NewBattleDialog.png&action=history|False|http://robowiki.net/wiki/../w/index.php?title=File:NewBattleDialog.png&action=history|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/indexaf8b.html?title=File:Anatomy.jpg&action=history|False|http://robowiki.net/wiki/../w/index.php?title=File:Anatomy.jpg&action=history|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_RobotConsoleButtons.html|True|http://robowiki.net/wiki/File:RobotConsoleButtons|http error|False|False
